Associated Gene Name,gene_length_bp,FANTOM_Total_CAGE_TPM,Cytosol_TPM,PB_TPM,RNA enrichment in P-body (log2) (Fold change=sorted P-bodies/pre-sorted fraction),NEW_Log2FC_TPM,Cap_index,DepMap_Common_Essential,DepMap_Strongly_Selective,DepMap_Flag_Status,DepMap_Dependent_Cell_Lines
CDK11B,3130,0.311064574191742,22.560516159959537,52.4718060322439,2.02005470419939,1.217377956041762,0.0137880078623298,0,0,not flagged,0
STC1,4149,1.555322870958709,177.8100774652995,406.2014028087256,2.02078782394952,1.1918125118253151,0.0087471019254363,0,0,not flagged,0
ENPP5,4264,3.1106457419174167,39.89502992081964,89.397287804943,2.02128973646237,1.1638218280672856,0.0779707584651814,0,0,not flagged,0
NRAS,4449,34.424479543886086,355.9703241674129,818.1293853568978,2.02402642491129,1.2005491518111708,0.0967060375732226,0,1,strongly selective,99
DCLRE1A,4596,4.66596861287612,155.6139720794284,351.2295992422606,2.02887416995429,1.1743911975068746,0.0299842523812355,0,0,not flagged,1
ATL2,4885,16.901175197751293,247.67670471371957,574.0590013710967,2.03007634576569,1.212707725022478,0.0682388568488374,1,1,both,770
PCDH17,8242,0.0,51.74501224230851,119.98618930264112,2.0318118645734,1.213218098078363,0.0,0,0,not flagged,1
GRIP1,6378,0.0,13.746581858084596,32.08868676682056,2.03547093107963,1.2223922309748674,0.0,0,0,not flagged,0
GJC1,8660,7.77661435479354,155.20163704484673,360.4633272155617,2.03810931350779,1.2156557848268748,0.0501065227330458,0,1,strongly selective,23
GNAI1,4547,7.67292616339629,124.41155139939742,292.25220574932956,2.04376044950578,1.2320268770095557,0.0616737439336638,0,1,strongly selective,4
SLFN11,5982,25.1962305095311,296.02878894742827,693.4084814450056,2.04396106184374,1.2279400690856606,0.0851141221741298,0,0,not flagged,0
AKT3,7499,12.442582967669612,138.04587754448764,325.4471369971475,2.04531855502686,1.2372152415973992,0.0901336801141329,0,0,not flagged,1
KLF11,4589,3.1106457419174123,36.112477214309266,85.32932183974934,2.05095681910638,1.2403138123827433,0.0861377003703541,0,0,not flagged,0
ZBTB6,4106,9.33193722575225,260.18742247003394,584.1236177477432,2.05413719572722,1.1666917456773442,0.0358662118912647,0,0,not flagged,1
PNRC2,2564,5.080721378465115,125.98652604953054,294.7392148808023,2.05587762841234,1.2261040137436607,0.0403274980093321,0,0,not flagged,143
DCUN1D4,7625,6.94710882361556,98.293507545054,230.40952172927356,2.05687078044605,1.2289481516900052,0.0706771891361316,0,0,not flagged,4
PCDH18,5925,3.3180221247119137,93.4138193646075,222.1456986013295,2.05796578842308,1.249708817047589,0.0355196067057401,0,0,not flagged,0
CCDC89,2428,1.45163467956146,24.519415283147623,57.851686568143464,2.06119002277899,1.2380955317032225,0.0592034786636686,0,0,not flagged,0
POGZ,10272,14.827411369806342,155.5794216279024,368.4380205463455,2.06438233778404,1.2437171266927312,0.0953044510299626,0,0,not flagged,334
EZH2,4522,11.92414201068342,129.39574838827068,307.50566816088957,2.06735453619997,1.2487582134222823,0.0921525023751422,0,1,strongly selective,81
ZXDA,5204,0.0,14.884594881363292,35.16360021321139,2.07178135319116,1.239704126160764,0.0,0,1,strongly selective,2
FBXO5,3823,102.75499767467196,1496.9387244276702,3560.7269246794617,2.07238078693823,1.2501510450132929,0.0686434227386018,0,0,not flagged,1160
SGCB,4541,6.11760329243758,129.24075243974482,306.77373776005584,2.0748787103653,1.247049330038465,0.0473349402332654,0,0,not flagged,1
PRKD3,10244,19.597068174079755,208.95563331092103,485.9416947728521,2.08261543793745,1.2175472174356157,0.0937857853533902,0,0,not flagged,7
RIC8B,7791,2.592204784931174,35.33285065956162,81.38560594186326,2.08497841984738,1.2035325056885544,0.0733652885782563,0,0,not flagged,0
ZNF704,15008,0.933193722575224,17.127085019349444,41.01551900714832,2.09381818019759,1.2593998541036118,0.0544864302081143,0,0,not flagged,0
RBL1,5954,8.08767892898528,97.37634975857236,238.0483174968068,2.10615210806544,1.2895235609587044,0.0830558852230266,0,0,not flagged,3
ZFP91,5220,0.207376382794494,219.91324297128753,537.4549739007372,2.10623127349259,1.289170652662419,0.0009429917907288,0,1,strongly selective,24
TRIM6,3947,1.140570105369719,13.383822066935512,30.088861521042773,2.10748881965963,1.168141211077035,0.0852200589387299,0,0,not flagged,0
PARP8,10056,2.592204784931176,75.54721722930051,183.1862720624441,2.11283131788704,1.2777486723390437,0.034312379462811,0,0,not flagged,1
WDR17,7817,1.866387445150446,22.821408731141226,54.930501769741134,2.11324006197224,1.2668502078665942,0.0817823065674138,0,0,not flagged,0
PAPSS2,4116,3.732774890300901,70.74892773493274,173.46062680083057,2.11525380502189,1.2937073057463069,0.0527608687482314,0,0,not flagged,0
PPP1R3B,5776,1.347946488164214,19.20357215377136,46.93974831242576,2.11641119532512,1.288991656637613,0.0701924869691232,0,0,not flagged,0
